text,label
정처기 시험 접수 마감,must
내일까지 과제 제출,must
프로젝트 최종 발표 준비,must
등록금 납부 마감일,must
비자 신청 서류 제출,must
월세 이체하기,must
전기요금 납부 마감,must
내일 오전 면접,must
계약서 서명하고 보내기,must
논문 초록 제출 마감,must
공모전 접수 마감,must
연말정산 서류 제출,must
건강보험료 납부,must
여권 갱신 신청 급함,must
항공권 체크인 마감 전에 하기,must
긴급 버그 수정 배포,must
서버 장애 대응,must
고객사 답변 오늘까지,must
견적서 오늘 중으로 발송,must
지원서 마감 오늘 자정,must
발표 자료 내일 아침까지 완성,must
시험 공부 벼락치기,must
수강신청 오픈 시간 맞춰 접속,must
기말고사 시험,must
중간고사 준비 마지막 점검,must
자격증 시험 당일 준비물 챙기기,must
병원 수술 전 검사,must
약 처방전 받아오기 오늘까지,must
휴학 신청 마감일,must
장학금 신청서 제출,must
세금 신고 마감,must
카드값 결제일 확인하고 입금,must
대출 이자 납부일,must
보증금 송금하기,must
이사 계약 잔금 치르기,must
인터넷 해지 위약금 처리 기한,must
회사 연차 신청 마감,must
출장 보고서 오늘까지 제출,must
클라이언트 미팅 자료 최종본 전달,must
납품 마감일 확인하고 발송,must
원고 마감 오늘 밤까지,must
경진대회 발표 리허설 필수,must
졸업 논문 심사 자료 제출,must
성적 이의신청 마감일,must
예방접종 예약 당일,must
차량 검사 만료 전에 받기,must
운전면허 갱신 기한 임박,must
주민등록증 재발급 신청 마감,must
공과금 자동이체 실패 재납부,must
긴급 회의 소집 참석,must
장비 반납 마감일,must
도서관 책 반납 연체 직전,must
쓰레기 분리수거 마지막 날,must
기숙사 퇴사 점검 필수,must
인턴 지원 서류 오늘 마감,must
발표 순서 첫번째라 일찍 도착,must
데모 시연 준비 완료해야 함,must
릴리즈 배포 일정 사수,must
앱 심사 제출 오늘까지,must
버전 출시 전 최종 QA,must
회의,should
팀 미팅 준비,should
주간 회의 안건 정리,should
정처기 공부,should
알고리즘 문제 풀기,should
영어 회화 연습,should
운동 헬스장 가기,should
러닝 5km 뛰기,should
필라테스 수업,should
병원 정기 검진 예약 잡기,should
치과 스케일링 예약,should
부모님께 전화드리기,should
가족 저녁 식사 약속,should
친구 결혼식 축의금 준비,should
보고서 작성,should
회의록 정리해서 공유,should
코드 리뷰 하기,should
PR 리뷰 남기기,should
이력서 업데이트,should
포트폴리오 정리,should
스터디 발표 준비,should
독서 모임 책 읽어가기,should
장보기 이번 주 식재료,should
집 청소 주말 대청소,should
빨래 돌리고 개기,should
은행 업무 보기,should
적금 통장 만들기,should
보험 상담 예약,should
차량 엔진오일 교체,should
자전거 점검 맡기기,should
회사 교육 이수하기,should
온라인 강의 이번 주 분량 듣기,should
토익 단어 외우기,should
멘토링 미팅 일정 잡기,should
동아리 정기 모임,should
프로젝트 일정 계획 세우기,should
기획서 초안 작성,should
디자인 시안 검토,should
데이터 백업 하기,should
컴퓨터 업데이트 및 정리,should
사진 클라우드 백업,should
약국 들러서 상비약 사기,should
안경 새로 맞추기,should
미용실 예약,should
선물 사기 친구 생일,should
경조사 일정 확인,should
독후감 쓰기,should
주간 회고 작성,should
학원 등록 상담,should
자격증 접수 일정 알아보기,should
전공 책 복습,should
과제 자료 조사,should
팀원 피드백 정리해서 전달,should
업무 인수인계 문서 작성,should
회의실 예약하기,should
출장 숙소 알아보기,should
명함 새로 주문,should
사무용품 주문,should
책 읽기,could
새로 나온 소설 읽어보기,could
영화 보기,could
넷플릭스 신작 정주행,could
전시회 다녀오기,could
사진 정리하기,could
앨범 만들기,could
블로그 글 써보기,could
유튜브 영상 편집 연습,could
새 카페 가보기,could
동네 산책,could
공원 피크닉,could
등산 가볍게 다녀오기,could
자전거 라이딩,could
기타 연습,could
피아노 코드 몇 개 익히기,could
그림 그리기,could
캘리그라피 연습,could
새 레시피 요리 도전,could
베이킹 해보기,could
홈카페 라떼 만들기,could
방 꾸미기 소품 알아보기,could
책상 배치 바꿔보기,could
식물 분갈이,could
플레이리스트 정리,could
팟캐스트 듣기,could
보드게임 모임 알아보기,could
게임 한 판,could
새 취미 알아보기,could
여행 버킷리스트 적어보기,could
제주도 여행 코스 구경하기,could
캠핑 용품 구경,could
사진 잘 찍는 법 찾아보기,could
필름 카메라 알아보기,could
중고 서점 구경,could
문구점 들러보기,could
향수 시향 하러 가기,could
새 운동화 구경,could
옷장 정리하면서 코디 해보기,could
인테리어 영상 보기,could
뜨개질 시작해보기,could
퍼즐 맞추기,could
레고 조립,could
드라이브 다녀오기,could
바다 보러 가기,could
별 보러 가기,could
사이드 프로젝트 아이디어 구상,could
새 프로그래밍 언어 맛보기,could
디자인 툴 튜토리얼 해보기,could
글씨체 폰트 구경,could
노션 템플릿 꾸미기,could
다이어리 꾸미기,could
명상 앱 써보기,could
요가 영상 따라하기,could
반신욕 하기,could
낮잠 자기,could
동네 맛집 탐방,could
디저트 카페 투어,could
사진전 관람,could
헬스장 등록 보류,wont
PT 연장 안 하기로 함,wont
여행 계획 취소,wont
모임 참석 취소하기,wont
동아리 활동 그만두기,wont
스터디 탈퇴 하기로 함,wont
구독 서비스 해지 예정,wont
넷플릭스 구독 취소,wont
안 쓰는 앱 삭제는 나중에,wont
옷 정리는 다음에 하기,wont
